id,season,year,name,full_name,url,status,category,prize,country,city
513,1990-1991,1991,Irish Masters,1991 Irish Masters,https://cuetracker.net/tournaments/irish-masters/1991/513,Professional,Invitational,144000.0,Ireland,Kill
2055,1990-1991,1991,Scottish Amateur Championship,1991 Scottish Amateur Championship,https://cuetracker.net/tournaments/scottish-amateur-championship/1991/2055,Amateur,National Championship,0.0,Scotland,Glasgow
975,1990-1991,1991,Kent Cup,1991 Kent Cup,https://cuetracker.net/tournaments/kent-cup/1991/975,Professional,Invitational,9760.0,China,Beijing
516,1990-1991,1991,European Open,1991 European Open,https://cuetracker.net/tournaments/european-open/1991/516,Professional,Ranking,196250.0,Netherlands,Rotterdam
514,1990-1991,1991,British Open,1991 British Open,https://cuetracker.net/tournaments/british-open/1991/514,Professional,Ranking,400000.0,England,Derby
582,1990-1991,1991,Welsh Professional Championship,1991 Welsh Professional Championship,https://cuetracker.net/tournaments/welsh-professional-championship/1991/582,Professional,Non-ranking,33500.0,Wales,Newport
515,1990-1991,1991,Masters,1991 Masters,https://cuetracker.net/tournaments/masters/1991/515,Professional,Invitational,350000.0,England,London
525,1990-1991,1991,World Masters - Juniors Singles,1991 World Masters - Juniors Singles,https://cuetracker.net/tournaments/world-masters-juniors-singles/1991/525,Amateur,World Event,25000.0,England,Birmingham
523,1990-1991,1991,World Masters - Men's Singles,1991 World Masters - Men's Singles,https://cuetracker.net/tournaments/world-masters-mens-singles/1991/523,Professional,Non-ranking,696000.0,England,Birmingham
524,1990-1991,1991,World Masters - Women's Singles,1991 World Masters - Women's Singles,https://cuetracker.net/tournaments/world-masters-womens-singles/1991/524,Amateur,World Event,49500.0,England,Birmingham
2025,1990-1991,1991,Australian Amateur Championship,1991 Australian Amateur Championship,https://cuetracker.net/tournaments/australian-amateur-championship/1991/2025,Amateur,National Championship,0.0,Australia,Unknown
1417,1990-1991,1991,Belgian Amateur Championship,1991 Belgian Amateur Championship,https://cuetracker.net/tournaments/belgian-amateur-championship/1991/1417,Amateur,National Championship,0.0,Belgium,Antwerp
1451,1990-1991,1991,Canadian Championship,1991 Canadian Championship,https://cuetracker.net/tournaments/canadian-championship/1991/1451,Pro-am,National Championship,0.0,Canada,Toronto
517,1990-1991,1991,Classic,1991 Classic,https://cuetracker.net/tournaments/classic/1991/517,Professional,Ranking,300000.0,England,Bournemouth
1571,1990-1991,1991,Dutch Amateur Championship,1991 Dutch Amateur Championship,https://cuetracker.net/tournaments/dutch-amateur-championship/1991/1571,Amateur,National Championship,0.0,Netherlands,Eindhoven
1891,1990-1991,1991,English Amateur Championship,1991 English Amateur Championship,https://cuetracker.net/tournaments/english-amateur-championship/1991/1891,Amateur,National Championship,0.0,England,Various
1776,1990-1991,1991,Indian Amateur Championship,1991 Indian Amateur Championship,https://cuetracker.net/tournaments/indian-amateur-championship/1991/1776,Amateur,National Championship,0.0,India,Unknown
1506,1990-1991,1991,Irish Amateur Championship,1991 Irish Amateur Championship,https://cuetracker.net/tournaments/irish-amateur-championship/1991/1506,Amateur,National Championship,0.0,Ireland,Unknown
512,1990-1991,1991,Matchroom League,1991 Matchroom League,https://cuetracker.net/tournaments/matchroom-league/1991/512,Professional,League,200000.0,,Various
1756,1990-1991,1991,Northern Ireland Amateur Championship,1991 Northern Ireland Amateur Championship,https://cuetracker.net/tournaments/northern-ireland-amateur-championship/1991/1756,Amateur,National Championship,0.0,Northern Ireland,Unknown
2056,1990-1991,1991,Scottish Open Championship,1991 Scottish Open Championship,https://cuetracker.net/tournaments/scottish-open-championship/1991/2056,Amateur,National Championship,0.0,Scotland,Falkirk
1803,1990-1991,1991,Swedish Amateur Championship,1991 Swedish Amateur Championship,https://cuetracker.net/tournaments/swedish-amateur-championship/1991/1803,Amateur,National Championship,0.0,Sweden,Unknown
